ID,pH,DO,PI,TN,TP,Cond,Tur,DOC,Lon,Lat
10,7.980169206307795,8.898634765580026,4.043216342485646,1.744503708678805,0.0344531895013236,0.023601079451449573,3.3863574551647955,6.141582731993903,132.411587,44.99953904
11,8.36188091604437,10.644670159099952,3.661780462889864,1.6660712257516317,0.0309837974388341,0.07947730046112406,1.018227912511291,10.825758205757536,100.2006354,36.88672361
24,7.928889829293836,11.66739434236181,4.67145524069062,1.4220945598926145,0.0420151644348117,0.02397565777171406,3.536912275677853,5.999455493916635,120.2034625,31.20039433
25,8.303554532978156,9.344114781647438,2.463556579679993,1.89732651546666,0.0310378110203775,0.058954593177508036,0.9055492134253729,11.977475081082169,88.99295283,31.8007868
30,8.246223197850448,7.742730274611066,5.29663808995335,2.126024438038944,0.0421612588434284,0.05308734032483867,1.1462584402149731,10.369141737775353,117.3984754,48.94800857
31,8.283914007572976,9.241806573248269,2.739190531622837,1.941148029645129,0.03285738844393,0.05096617032603899,1.1578960264362381,12.777161130600811,90.60284628,30.73802168
34,8.424313412505192,11.221967071432534,3.45125697859127,1.6442410071854925,0.0287930842196736,0.09168281538331602,1.1060894163471529,10.222341984667487,95.646625,36.708625
36,8.235192966900497,11.375221826573275,3.4005005955762098,2.09929840725034,0.0361929977672363,0.02852103979020696,1.1034322380424897,5.024644479206277,118.5823669,33.3120556
44,8.385853369479044,10.57801225335177,2.47103976653508,3.436050027064133,0.0218531509173003,0.055809040891368795,0.7952641039438089,9.070632800895355,87.01507807,41.97926809
46,7.638613945236207,10.230178965416656,3.7268875230849416,1.989503870423992,0.0616108768595728,0.03689150508832357,4.030166228281428,5.845790134395599,112.8993078,29.23086467
48,8.195671527560945,9.236340048025989,2.1182283450609227,2.3300220776681635,0.0295207394200146,0.06512760913217139,0.6041897926282602,20.57703747053429,90.06933422,33.43545232
49,8.329457082961902,10.429395204487667,2.135017012185743,2.718203338638682,0.027916993787687,0.08813982152421071,0.9364974819775002,10.127816728314071,89.46831871,37.52656288
51,8.279728683415485,10.903382232912588,1.649055321455471,2.3321917039284283,0.0251651324933577,0.05887252927255287,0.5140255047864958,12.9151003163637,85.61173582,30.9289536
52,8.35523836996672,9.503710749053406,2.3830380187138736,1.15854674239765,0.0115555451430404,0.04967479189657313,0.8715747662552612,14.250885373025737,82.89722249,44.91271119
59,8.423343295023859,9.251936123838028,2.424935472463687,2.6668474183588864,0.0219838139256508,0.0864370233614192,0.8468604510395273,13.155753458665158,93.6979569,37.57225807
60,8.310285856268354,10.850759350685742,2.305853409026825,2.0257166387839063,0.0326741878728438,0.0481192694944659,1.0962604658394235,6.381041636922026,87.28959448,47.25585354
61,8.230643151317746,9.611715695783891,1.526559786787468,2.114628946153657,0.0138875969581234,0.0563912878032114,0.508017879621674,12.594715712980562,86.60438435,31.06499889
62,8.131722963325458,11.32794969454394,4.240707342080505,1.7937545410290563,0.0522164279791932,0.03494445836725951,1.801440232108118,4.828918501459201,119.3008886,32.83902478
65,7.684408428185424,11.193859125517886,3.633814635559846,1.1936292307445302,0.049977720416513,0.02693201050953428,3.993077504894843,4.194653414889744,116.2973041,30.02301519
69,7.999714405084152,11.577478584018465,3.221339463710068,1.5743676885701094,0.0330946669860415,0.02505319146477034,3.4475081292125322,4.116004539010315,117.5351344,31.57223005
74,8.293647977914857,9.79852479476074,1.6544178925178172,1.1785607625629408,0.020100726441398,0.06619260679495714,0.598524362227899,19.88611540666089,78.794125,33.706875
76,8.237598829789606,7.820020976019897,5.150058260597376,1.674246128263386,0.0346164946289943,0.08226928854678012,1.0412226671317,12.054842495691258,90.6054375,34.73275
85,8.270505870510977,9.225480529888936,2.159271902892355,2.2370428791008656,0.0294771152746424,0.058139366613651294,0.9605348645798443,10.315466947657464,97.58982597,38.29290687
86,8.331123227424465,7.876819512048509,5.223316897125073,2.088969722591868,0.0402960302584299,0.057219506824172706,1.20696557467302,21.12921797773449,117.697738,47.80887128
93,8.215735405240686,10.595408986962276,1.8324616684314623,3.384162868512704,0.0144276563653475,0.05086744174559525,0.45772634884742797,10.960343807271274,90.7112682,28.95332361
96,8.28515399462005,10.454059360785086,3.2801069039781545,1.610276370253815,0.0344712357914414,0.08603085528475382,1.1214729291596865,10.1148568206843,88.40093016,37.07703695
100,8.239188705883727,9.023686925059058,3.2865056241598167,1.6659425187454102,0.0342921296763431,0.08197528031387634,1.0940015760633497,12.059440162106414,90.27842654,35.22014215
103,8.258613150433085,9.140711617595343,5.3329037754655095,1.8789715491943204,0.0341766038185468,0.06082775541326132,0.7845712023410455,11.376297195950638,97.26799509,34.93170626
109,8.18755175523185,11.452923058626745,1.4267563029406458,2.8804035438483435,0.0241538725658778,0.05866620725163768,0.5292379436076075,8.916089683966414,83.07511495,31.54325052
110,8.040807087804975,12.17396891365491,2.954540490400185,2.939627330053118,0.0270204024204546,0.03524983769517572,0.4840502217692706,5.280355240712454,116.7845753,35.05739612
111,8.238419170000224,9.763885912940102,5.234019167281868,1.7950110137377158,0.0349859624018541,0.07676520208446445,1.1370563049463391,11.101675438016589,88.9553994,34.58219827
112,8.255174474401532,10.674672797060571,1.5638693003528985,3.5202223959123824,0.0244452906806528,0.055703871558952366,0.5415129669967508,11.746476333445536,87.1321211,31.01934273
113,8.223438343457339,11.8295822377857,1.6236010242403731,2.8622334965651146,0.0254172920841191,0.0574044073341947,0.5967424814087693,10.680027537703747,84.11541719,31.13716326
